Zone géographique,Total_2003
13 - Bouches-du-Rhône,154442.89285714287
31 - Haute-Garonne,106835.42857142857
33 - Gironde,113419.35714285714
44 - Loire-Atlantique,110212.64285714286
59 - Nord,209093.60714285713
67 - Bas-Rhin,104917.39285714286
69 - Rhône,179131.32142857142
75 - Paris,408094.96428571426
76 - Seine-Maritime,108727.85714285714
78 - Yvelines,131948.17857142858
91 - Essonne,101571.03571428571
92 - Hauts-de-Seine,242896.0357142857
93 - Seine-Saint-Denis,120617.14285714286
94 - Val-de-Marne,112723.10714285714
Auvergne-Rhône-Alpes,309208.4875
Bourgogne-Franche-Comté,104206.125
Bretagne,109422.1875
France hors Mayotte,2546859.05
France métropolitaine,2515606.0875
Grand Est,211771.275
Hauts-de-France,211355.2125
Normandie,125688.2125
Nouvelle-Aquitaine,196266.2125
Occitanie,174977.925
Pays de la Loire,139154.275
Provence-Alpes-Côte d'Azur,172831.3125
Île-de-France,655394.55
